sector,source,year,region,m49_code,country,food_service_kg_per_capita_year,food_service_tonnes_year,confidence_in_estimate
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,268,Georgia,29,109963,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,368,Iraq,30,1341832,Medium Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,376,Israel,24,218382,Medium Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,400,Jordan,30,334416,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,414,Kuwait,24,103955,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,422,Lebanon,30,162617,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,512,Oman,24,111502,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,634,Qatar,24,65733,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,682,Saudi Arabia,24,886420,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,275,State of Palestine,29,154360,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,760,Syrian Arab Republic,30,655502,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,792,Turkey,29,2509158,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,784,United Arab Emirates,24,229822,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,887,Yemen,30,998212,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Europe,40,Austria,23,205620,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Western Europe,56,Belgium,8,93280,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Western Europe,250,France,16,1034080,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Western Europe,276,Germany,22,1834140,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Western Europe,438,Liechtenstein,19,751,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Europe,442,Luxembourg,14,9100,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Western Europe,492,Monaco,19,751,Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Europe,528,Netherlands,5,87800,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Western Europe,756,Switzerland,31,268739,Medium Confidence
